Category,Name,URL,Kind,Tier,Use
"Accessible UI Foundations","shadcn/ui","https://ui.shadcn.com","copy-owned component system","core","Default high-level component source when appropriate; adapt to project design system."
"Accessible UI Foundations","Radix UI","https://www.radix-ui.com","headless primitives","core","Accessible React primitives; preserve when existing project uses Radix."
"Accessible UI Foundations","Base UI","https://base-ui.com","headless primitives","core","Unstyled accessible primitives; suitable foundation for custom systems."
"Accessible UI Foundations","React Aria","https://react-spectrum.adobe.com/react-aria","interaction primitives","core","High-quality accessible interaction behavior and complex widgets."
"Accessible UI Foundations","Ariakit","https://ariakit.org","headless primitives","strong","Accessible React primitives and interaction patterns."
"Accessible UI Foundations","Ark UI","https://ark-ui.com","headless components","strong","Headless components and state-driven UI patterns."
"Accessible UI Foundations","Headless UI","https://headlessui.com","headless components","secondary","Accessible unstyled components, particularly useful in Tailwind ecosystems."
"Accessible UI Foundations","Zag.js","https://zagjs.com","state machines","secondary","State-machine patterns for complex interactive components."
"Accessible UI Foundations","Floating UI","https://floating-ui.com","positioning engine","core","Tooltips, popovers, dropdowns, floating elements and collision-aware positioning."
"Accessible UI Foundations","HeroUI","https://www.heroui.com","component system","secondary","Full React UI system; reference or project-specific choice."
"Accessible UI Foundations","Mantine","https://mantine.dev","component system","secondary","Large React component and hooks ecosystem."
"Accessible UI Foundations","Chakra UI","https://chakra-ui.com","component system","secondary","Accessible component system; preserve in existing Chakra projects."
"Accessible UI Foundations","Material UI","https://mui.com","component system","secondary","Mature enterprise Material Design React ecosystem."
"Accessible UI Foundations","Ant Design","https://ant.design","component system","secondary","Enterprise-heavy React UI system."
"Accessible UI Foundations","Astryx","https://github.com/facebook/astryx","design system","watch","Enterprise design-system reference and alternative foundation."
"Accessible UI Foundations","RetroUI","https://retroui.dev","styled components","optional","Use when the product deliberately needs a retro visual language."

"Component Libraries","21st.dev","https://21st.dev","component registry","core","Primary discovery layer for high-quality React components and creative UI patterns."
"Component Libraries","React Bits","https://reactbits.dev","animated components","core","Creative React effects, text treatments, backgrounds and marketing interactions."
"Component Libraries","Aceternity UI","https://ui.aceternity.com","animated components","strong","Premium marketing components and visual effects; adapt rather than copy visual identity."
"Component Libraries","Magic UI","https://magicui.design","animated components","strong","Animated shadcn-style components and marketing patterns."
"Component Libraries","Animate UI","https://animate-ui.com","animated primitives","strong","Reusable animated React primitives."
